COG	Protein name	Pathway	Letter	Function
COG2146	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase		P	Inorganic Ion Transport and Metabolism
COG2146	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG2147	Ribosomal protein L19E	Archaeal ribosomal proteins	J	Translation, Ribosomal Structure and Biogenesis
COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)		M	Cell Wall/Membrane/Envelope Biogenesis
COG2149	Uncharacterized membrane protein YidH, DUF202 family		S	Function Unknown
COG2150	Predicted regulator of amino acid metabolism, contains ACT domain		R	General Function Prediction Only
COG2151	Metal-sulfur cluster biosynthetic enzyme		O	Post-translational Modification, Protein Turnover, Chaperones
COG2152	Predicted glycosyl hydrolase, GH43/DUF377 family		G	Carbohydrate Transport and Metabolism
COG2153	Predicted N-acyltransferase, GNAT family		R	General Function Prediction Only
COG2154	Pterin-4a-carbinolamine dehydratase		H	Coenzyme Transport and Metabolism
COG2155	Uncharacterized membrane protein YuzA, DUF378 family		S	Function Unknown
COG2156	K+-transporting ATPase, KdpC subunit		P	Inorganic Ion Transport and Metabolism
COG2157	Ribosomal protein L20A (L18A)	Archaeal ribosomal proteins	J	Translation, Ribosomal Structure and Biogenesis
COG2158	Uncharacterized conserved protein, contains a Zn-finger-like domain		R	General Function Prediction Only
COG2159	5-carboxyvanillate decarboxylase LigW (lignin degradation), amidohydro domain		G	Carbohydrate Transport and Metabolism
COG2160	L-arabinose isomerase		G	Carbohydrate Transport and Metabolism
COG2161	Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family		V	Defense Mechanisms
COG2162	Arylamine N-acetyltransferase		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG2163	Ribosomal protein L14E/L6E/L27E	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG2164	Uncharacterized protein with cyclophilin fold, contains DUF369 domain		R	General Function Prediction Only
COG2165	Type II secretory pathway, pseudopilin PulG		N	Cell Motility
COG2165	Type II secretory pathway, pseudopilin PulG		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG2165	Type II secretory pathway, pseudopilin PulG		W	Extracellular Structures
COG2166	Sulfur transfer protein SufE, Fe-S cluster assembly		O	Post-translational Modification, Protein Turnover, Chaperones
COG2167	Ribosomal protein L39E	Archaeal ribosomal proteins	J	Translation, Ribosomal Structure and Biogenesis
COG2168	Sulfur transfer complex TusBCD TusB component, DsrH family		J	Translation, Ribosomal Structure and Biogenesis
COG2169	Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains		L	Replication, Recombination and Repair
COG2170	Gamma-glutamyl:cysteine ligase YbdK, ATP-grasp superfamily		O	Post-translational Modification, Protein Turnover, Chaperones
COG2171	Tetrahydrodipicolinate N-succinyltransferase	Lysine biosynthesis	E	Amino Acid Transport and Metabolism
COG2172	Anti-sigma regulatory factor (Ser/Thr protein kinase)		T	Signal Transduction Mechanisms
COG2173	D-alanyl-D-alanine dipeptidase		M	Cell Wall/Membrane/Envelope Biogenesis
COG2174	Ribosomal protein L34E	Archaeal ribosomal proteins	J	Translation, Ribosomal Structure and Biogenesis
COG2175	Taurine dioxygenase, alpha-ketoglutarate-dependent		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG2176	DNA polymerase III, alpha subunit (gram-positive type)		L	Replication, Recombination and Repair
COG2177	Cell division protein FtsX		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG2178	Predicted RNA- or ssDNA-binding protein, translin family		R	General Function Prediction Only
COG2179	Predicted phosphohydrolase YqeG, HAD superfamily		R	General Function Prediction Only
COG2180	Nitrate reductase assembly protein NarJ, required for insertion of molybdenum cofactor		C	Energy Production and Conversion
COG2180	Nitrate reductase assembly protein NarJ, required for insertion of molybdenum cofactor		P	Inorganic Ion Transport and Metabolism
COG2180	Nitrate reductase assembly protein NarJ, required for insertion of molybdenum cofactor		O	Post-translational Modification, Protein Turnover, Chaperones
COG2181	Nitrate reductase gamma subunit		C	Energy Production and Conversion
COG2181	Nitrate reductase gamma subunit		P	Inorganic Ion Transport and Metabolism
COG2182	Maltose-binding periplasmic protein MalE		G	Carbohydrate Transport and Metabolism
COG2183	Transcriptional accessory protein Tex/SPT6		K	Transcription
COG2184	Fido, protein-threonine AMPylation domain		T	Signal Transduction Mechanisms
COG2185	Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding)		I	Lipid Transport and Metabolism
COG2186	DNA-binding transcriptional regulator, FadR family		K	Transcription
COG2187	Aminoglycoside phosphotransferase family enzyme		R	General Function Prediction Only
COG2188	DNA-binding transcriptional regulator, GntR family		K	Transcription
COG2189	Adenine specific DNA methylase Mod		L	Replication, Recombination and Repair
COG2190	Phosphotransferase system IIA component		G	Carbohydrate Transport and Metabolism
COG2191	Formylmethanofuran dehydrogenase subunit E		C	Energy Production and Conversion
COG2192	Predicted carbamoyl transferase, NodU family		R	General Function Prediction Only
COG2193	Bacterioferritin (cytochrome b1)		P	Inorganic Ion Transport and Metabolism
COG2194	Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily		M	Cell Wall/Membrane/Envelope Biogenesis
COG2195	Di- or tripeptidase		E	Amino Acid Transport and Metabolism
COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains		T	Signal Transduction Mechanisms
COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains		K	Transcription
COG2198	HPt (histidine-containing phosphotransfer) domain		T	Signal Transduction Mechanisms
COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants		T	Signal Transduction Mechanisms
COG2200	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)		T	Signal Transduction Mechanisms
COG2201	Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains		T	Signal Transduction Mechanisms
COG2202	PAS domain		T	Signal Transduction Mechanisms
COG2203	GAF domain		T	Signal Transduction Mechanisms
COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains		T	Signal Transduction Mechanisms
COG2205	K+-sensing histidine kinase KdpD		T	Signal Transduction Mechanisms
COG2206	HD-GYP domain, c-di-GMP phosphodiesterase class II (or its inactivated variant)		T	Signal Transduction Mechanisms
COG2207	AraC-type DNA-binding domain and AraC-containing proteins		K	Transcription
COG2208	Phosphoserine phosphatase RsbU, regulator of sigma subunit		T	Signal Transduction Mechanisms
COG2208	Phosphoserine phosphatase RsbU, regulator of sigma subunit		K	Transcription
COG2209	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE	Na+-translocating NADH dehydrogenase	C	Energy Production and Conversion
COG2210	Peroxiredoxin family protein		C	Energy Production and Conversion
COG2211	Na+/melibiose symporter or related transporter		G	Carbohydrate Transport and Metabolism
COG2212	Multisubunit Na+/H+ antiporter, MnhF subunit		P	Inorganic Ion Transport and Metabolism
COG2213	Phosphotransferase system, mannitol-specific IIBC component		G	Carbohydrate Transport and Metabolism
COG2214	Curved DNA-binding protein CbpA, contains a DnaJ-like domain		K	Transcription
COG2215	ABC-type nickel/cobalt efflux system, permease component RcnA		P	Inorganic Ion Transport and Metabolism
COG2216	K+ transport ATPase, ATPase subunit KdpB		P	Inorganic Ion Transport and Metabolism
COG2217	Cation-transporting P-type ATPase		P	Inorganic Ion Transport and Metabolism
COG2218	Formylmethanofuran dehydrogenase subunit C		C	Energy Production and Conversion
COG2219	Eukaryotic-type DNA primase, large subunit		L	Replication, Recombination and Repair
COG2220	L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily		G	Carbohydrate Transport and Metabolism
COG2221	Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits		P	Inorganic Ion Transport and Metabolism
COG2222	Fructoselysine-6-P-deglycase FrlB or related protein, duplicated sugar isomerase (SIS) domain		M	Cell Wall/Membrane/Envelope Biogenesis
COG2223	Nitrate/nitrite transporter NarK		P	Inorganic Ion Transport and Metabolism
COG2224	Isocitrate lyase	TCA cycle, glyoxylate bypass	C	Energy Production and Conversion
COG2225	Malate synthase	TCA cycle, glyoxylate bypass	C	Energy Production and Conversion
COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG	Biotin biosynthesis	H	Coenzyme Transport and Metabolism
COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	Ubiquinone biosynthesis	H	Coenzyme Transport and Metabolism
COG2229	Signal recognition particle receptor subunit beta, a GTPase		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG2230	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases		I	Lipid Transport and Metabolism
COG2231	3-Methyladenine DNA glycosylase, HhH-GPD/Endo3 superfamily		L	Replication, Recombination and Repair
COG2232	Pyrrolysine biosynthesis ligase PylC and related enzymes, ATP-grasp superfamily		E	Amino Acid Transport and Metabolism
COG2233	Xanthine/uracil permease	Pyrimidine degradation	F	Nucleotide Transport and Metabolism
COG2234	Zn-dependent amino- or carboxypeptidase, M28 family		O	Post-translational Modification, Protein Turnover, Chaperones
COG2234	Zn-dependent amino- or carboxypeptidase, M28 family		E	Amino Acid Transport and Metabolism
COG2235	Arginine deiminase		E	Amino Acid Transport and Metabolism
COG2236	Hypoxanthine phosphoribosyltransferase	Purine salvage	H	Coenzyme Transport and Metabolism
COG2237	Uncharacterized membrane protein		S	Function Unknown
COG2238	Ribosomal protein S19E (S16A)	Archaeal ribosomal proteins	J	Translation, Ribosomal Structure and Biogenesis
COG2239	Mg/Co/Ni transporter MgtE (contains CBS domain)		P	Inorganic Ion Transport and Metabolism
COG2240	Pyridoxal/pyridoxine/pyridoxamine kinase	Pyridoxal phosphate biosynthesis	H	Coenzyme Transport and Metabolism
COG2241	Precorrin-6B methylase 1	Cobalamine/B12 biosynthesis	H	Coenzyme Transport and Metabolism
COG2242	Precorrin-6B methylase 2	Cobalamine/B12 biosynthesis	H	Coenzyme Transport and Metabolism
COG2243	Precorrin-2 methylase	Cobalamine/B12 biosynthesis	H	Coenzyme Transport and Metabolism
COG2244	Membrane protein involved in the export of O-antigen and teichoic acid		M	Cell Wall/Membrane/Envelope Biogenesis
COG2245	Uncharacterized membrane protein, contains DUF996 domain		S	Function Unknown
COG2246	Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose)		I	Lipid Transport and Metabolism
COG2247	Putative cell wall-binding domain (amidase enhancer), LytB superfamily		M	Cell Wall/Membrane/Envelope Biogenesis
COG2248	Predicted hydrolase, metallo-beta-lactamase superfamily		R	General Function Prediction Only
COG2249	Putative NADPH-quinone reductase (modulator of drug activity B)		R	General Function Prediction Only
COG2250	HEPN domain protein, predicted toxin of MNT-HEPN system		V	Defense Mechanisms
COG2251	Predicted nuclease, RecB family		R	General Function Prediction Only
COG2252	Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family		F	Nucleotide Transport and Metabolism
COG2253	Predicted nucleotidyltransferase component of viral defense system		V	Defense Mechanisms
COG2254	CRISPR/Cas system-associated endonuclease Cas3-HD	CRISPR-Cas system	V	Defense Mechanisms
COG2255	Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit RuvB		L	Replication, Recombination and Repair
COG2256	Replication-associated recombination protein RarA (DNA-dependent ATPase)		L	Replication, Recombination and Repair
COG2257	Type III secretion system substrate exporter, FlhB-like		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG2258	N-hydroxylaminopurine reductase YiiM, contains MOSC domain		F	Nucleotide Transport and Metabolism
COG2258	N-hydroxylaminopurine reductase YiiM, contains MOSC domain		V	Defense Mechanisms
COG2259	Uncharacterized membrane protein YphA, DoxX/SURF4 family		S	Function Unknown
COG2260	rRNA maturation protein Nop10, contains Zn-ribbon domain	16S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG2261	Uncharacterized membrane protein YeaQ/YmgE, transglycosylase-associated protein family		R	General Function Prediction Only
COG2262	50S ribosomal subunit-associated GTPase HflX		J	Translation, Ribosomal Structure and Biogenesis
COG2263	Predicted RNA methylase		R	General Function Prediction Only
COG2264	Ribosomal protein L11 methylase PrmA		J	Translation, Ribosomal Structure and Biogenesis
COG2265	tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG2266	GTP:adenosylcobinamide-phosphate guanylyltransferase	Cobalamine/B12 biosynthesis	H	Coenzyme Transport and Metabolism
COG2267	Lysophospholipase, alpha-beta hydrolase superfamily		I	Lipid Transport and Metabolism
COG2268	Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain		S	Function Unknown
COG2269	Elongation factor P--beta-lysine ligase (EF-P beta-lysylation pathway)		J	Translation, Ribosomal Structure and Biogenesis
COG2270	MFS-type transporter involved in bile tolerance, Atg22 family		R	General Function Prediction Only
COG2271	Sugar phosphate permease		G	Carbohydrate Transport and Metabolism
COG2272	Carboxylesterase type B		I	Lipid Transport and Metabolism
COG2273	Beta-glucanase, GH16 family		G	Carbohydrate Transport and Metabolism
COG2274	ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain		V	Defense Mechanisms
COG2301	Citrate lyase beta subunit		G	Carbohydrate Transport and Metabolism
COG2302	RNA-binding protein YlmH, contains S4-like domain		R	General Function Prediction Only
COG2303	Choline dehydrogenase or related flavoprotein	Non-phosphorylated Entner-Doudoroff pathway	I	Lipid Transport and Metabolism
COG2303	Choline dehydrogenase or related flavoprotein	Non-phosphorylated Entner-Doudoroff pathway	R	General Function Prediction Only
COG2304	Secreted protein containing bacterial Ig-like domain and vWFA domain		R	General Function Prediction Only
COG2306	Predicted RNA-binding protein, associated with RNAse of E/G family, DUF402 domain		R	General Function Prediction Only
COG2307	Uncharacterized conserved protein, Alpha-E superfamily		S	Function Unknown
COG2308	Circularly permuted ATP-grasp protein		R	General Function Prediction Only
COG2309	Leucyl aminopeptidase (aminopeptidase T)		E	Amino Acid Transport and Metabolism
COG2310	Stress response protein SCP2		T	Signal Transduction Mechanisms
COG2311	Uncharacterized membrane protein YeiB		S	Function Unknown
COG2312	Erythromycin esterase homolog		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG2313	Pseudouridine-5'-phosphate glycosidase (pseudoU degradation)		F	Nucleotide Transport and Metabolism
COG2314	Uncharacterized membrane protein YozV, TM2 domain, contains pTyr		R	General Function Prediction Only
COG2315	Predicted DNA-binding protein with ‘double-wing’ structural motif, MmcQ/YjbR family		K	Transcription
COG2316	Predicted hydrolase, HD superfamily		R	General Function Prediction Only
COG2317	Zn-dependent carboxypeptidase, M32 family		O	Post-translational Modification, Protein Turnover, Chaperones
COG2318	Bacillithiol/mycothiol S-transferase BstA/DinB, DinB/YfiT family (unrelated to E. coli DinB)		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG2319	WD40 repeat		R	General Function Prediction Only
COG2320	GrpB domain, predicted nucleotidyltransferase, UPF0157 family		R	General Function Prediction Only
COG2321	Predicted metalloprotease		R	General Function Prediction Only
COG2322	Predicted membrane metallochaperone YozB (3H, Sco1 fusion), DUF420 family		R	General Function Prediction Only
COG2323	Uncharacterized membrane protein YcaP, DUF421 family		S	Function Unknown
COG2324	Uncharacterized membrane protein		S	Function Unknown
COG2326	Polyphosphate kinase 2, PPK2 family		C	Energy Production and Conversion
COG2327	Polysaccharide pyruvyl transferase family protein WcaK (colanic acid biosynthesis)		M	Cell Wall/Membrane/Envelope Biogenesis
COG2329	Heme-degrading monooxygenase HmoA and related ABM domain proteins		H	Coenzyme Transport and Metabolism
COG2331	Predicted nucleic acid-binding protein, contains Zn-ribbon domain		R	General Function Prediction Only
COG2332	Cytochrome c biogenesis protein CcmE		C	Energy Production and Conversion
COG2332	Cytochrome c biogenesis protein CcmE		O	Post-translational Modification, Protein Turnover, Chaperones
COG2333	DNA uptake channel protein ComEC C-terminal domain, metallo-beta-lactamase superfamily		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG2334	Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist	Threonine biosynthesis	T	Signal Transduction Mechanisms
COG2335	Uncaracterized surface protein containing fasciclin (FAS1) repeats		R	General Function Prediction Only
COG2336	Antitoxin component MazE of the MazEF toxin-antitoxin module		V	Defense Mechanisms
COG2337	mRNA-degrading endonuclease MazF, toxin component of the MazEF toxin-antitoxin module		V	Defense Mechanisms
COG2339	Membrane proteinase PrsW, cleaves anti-sigma factor RsiW, M82 family		T	Signal Transduction Mechanisms
COG2340	Spore germination protein YkwD and related proteins with CAP (CSP/antigen 5/PR1) domain		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG2340	Spore germination protein YkwD and related proteins with CAP (CSP/antigen 5/PR1) domain		R	General Function Prediction Only
COG2342	Endo alpha-1,4 polygalactosaminidase, GH114 family (was erroneously annotated as Cys-tRNA synthetase)		G	Carbohydrate Transport and Metabolism
COG2343	Uncharacterized conserved protein, DUF427 family		S	Function Unknown
COG2344	NADH/NAD ratio-sensing transcriptional regulator Rex		K	Transcription
COG2345	Predicted transcriptional regulator, ArsR family		K	Transcription
COG2346	Truncated hemoglobin YjbI		P	Inorganic Ion Transport and Metabolism
COG2348	Lipid II:glycine glycyltransferase (Peptidoglycan interpeptide bridge formation enzyme)		M	Cell Wall/Membrane/Envelope Biogenesis
COG2350	YciI superfamily enzyme, includes 5-CHQ dehydrochlorinase, contains active-site pHis		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG2350	YciI superfamily enzyme, includes 5-CHQ dehydrochlorinase, contains active-site pHis		R	General Function Prediction Only
COG2351	5-hydroxyisourate hydrolase (purine catabolism), transthyretin-related family		F	Nucleotide Transport and Metabolism
COG2352	Phosphoenolpyruvate carboxylase	Urea cycle	C	Energy Production and Conversion
COG2353	Polyisoprenoid-binding periplasmic protein YceI		R	General Function Prediction Only
COG2354	Membrane protein MutK/YedI, may be involved in DNA repair		L	Replication, Recombination and Repair
COG2355	Zn-dependent dipeptidase, microsomal dipeptidase homolog		O	Post-translational Modification, Protein Turnover, Chaperones
COG2355	Zn-dependent dipeptidase, microsomal dipeptidase homolog		E	Amino Acid Transport and Metabolism
COG2356	Endonuclease I		L	Replication, Recombination and Repair
COG2357	ppGpp synthetase catalytic domain (RelA/SpoT-type nucleotidyltranferase)		F	Nucleotide Transport and Metabolism
COG2357	ppGpp synthetase catalytic domain (RelA/SpoT-type nucleotidyltranferase)		T	Signal Transduction Mechanisms
COG2358	TRAP-type uncharacterized transport system, periplasmic component		R	General Function Prediction Only
COG2359	Stage V sporulation protein SpoVS, predicted DNA-binding, AlbA superfamily		S	Function Unknown
COG2360	Leu/Phe-tRNA-protein transferase		O	Post-translational Modification, Protein Turnover, Chaperones
COG2361	HEPN domain protein, predicted toxin of MNT-HEPN system		V	Defense Mechanisms
COG2362	D-aminopeptidase		E	Amino Acid Transport and Metabolism
COG2363	Uncharacterized membrane protein YgdD, TMEM256/DUF423 family		S	Function Unknown
COG2364	Uncharacterized membrane protein YczE		S	Function Unknown
COG2365	Protein tyrosine/serine phosphatase Oca4		T	Signal Transduction Mechanisms
COG2366	Acyl-homoserine lactone (AHL) acylase PvdQ		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG2367	Beta-lactamase class A		V	Defense Mechanisms
COG2368	Aromatic ring hydroxylase		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG2369	Uncharacterized protein, contains phage Mu head morphogenesis gpF-like domain		X	Mobilome: Prophages, Transposons
COG2370	Hydrogenase/urease accessory protein HupE		O	Post-translational Modification, Protein Turnover, Chaperones
COG2371	Urease accessory protein UreE		O	Post-translational Modification, Protein Turnover, Chaperones
COG2372	Copper-binding protein CopC (methionine-rich)		P	Inorganic Ion Transport and Metabolism
COG2373	Uncharacterized conserved protein YfaS, alpha-2-macroglobulin family		R	General Function Prediction Only
COG2374	Predicted extracellular nuclease		R	General Function Prediction Only
COG2375	NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains		P	Inorganic Ion Transport and Metabolism
COG2376	Dihydroxyacetone kinase	Isoprenoid biosynthesis	G	Carbohydrate Transport and Metabolism
COG2377	1,6-Anhydro-N-acetylmuramate kinase		M	Cell Wall/Membrane/Envelope Biogenesis
COG2378	Predicted DNA-binding transcriptional regulator YobV, contains HTH and WYL domains		K	Transcription
COG2379	Glycerate-2-kinase	Non-phosphorylated Entner-Doudoroff pathway	G	Carbohydrate Transport and Metabolism
COG2380	NurA-like predicted nuclease, RNAse H fold		R	General Function Prediction Only
COG2382	Enterochelin esterase or related enzyme		P	Inorganic Ion Transport and Metabolism
COG2383	Uncharacterized membrane protein, Fun14 family		S	Function Unknown
COG2384	tRNA A22 N1-methylase	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG2385	Peptidoglycan hydrolase (amidase) enhancer domain SpoIID		M	Cell Wall/Membrane/Envelope Biogenesis
COG2386	ABC-type transport system involved in cytochrome c biogenesis, permease component		O	Post-translational Modification, Protein Turnover, Chaperones
COG2388	Predicted acetyltransferase, GNAT superfamily		R	General Function Prediction Only
COG2389	Uncharacterized metal-binding protein, DUF2227 family		S	Function Unknown
COG2390	DNA-binding transcriptional regulator LsrR, DeoR family		K	Transcription
COG2391	Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains		R	General Function Prediction Only
COG2401	ABC-type ATPase fused to a predicted acetyltransferase domain		R	General Function Prediction Only
COG2402	Predicted nucleic acid-binding protein, contains PIN domain		R	General Function Prediction Only
COG2403	Zn/Ni/Co-binding GTPase YjiA, predicted metallochaperone, CobW/Nha3/YciC family		P	Inorganic Ion Transport and Metabolism
COG2404	Oligoribonuclease NrnA/c-di-AMP phosphodiesterase DhhP, DHH superfamily		J	Translation, Ribosomal Structure and Biogenesis
COG2404	Oligoribonuclease NrnA/c-di-AMP phosphodiesterase DhhP, DHH superfamily		T	Signal Transduction Mechanisms
COG2405	Predicted nucleic acid-binding protein, contains PIN domain		R	General Function Prediction Only
COG2406	Ferritin-like DNA-binding protein, DPS (DNA Protection under Starvation) family		L	Replication, Recombination and Repair
COG2407	L-fucose isomerase or related protein		G	Carbohydrate Transport and Metabolism
COG2409	Predicted lipid transporter YdfJ, MMPL/SSD domain, RND superfamily		R	General Function Prediction Only
COG2410	Predicted nuclease (RNAse H fold)		R	General Function Prediction Only
COG2411	Predicted RNA-binding protein, contains PUA-like ASCH domain		R	General Function Prediction Only
COG2412	Uncharacterized conserved protein, DUF424 domain		S	Function Unknown
COG2413	Predicted nucleotidyltransferase		R	General Function Prediction Only
COG2414	Aldehyde:ferredoxin oxidoreductase		C	Energy Production and Conversion
COG2419	tRNA (A,G)9-N-methylase TRM10	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG2421	Acetamidase/formamidase		C	Energy Production and Conversion
COG2423	Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family	Proline biosynthesis	E	Amino Acid Transport and Metabolism
COG2425	Uncharacterized conserved protein, contains a von Willebrand factor type A (vWA) domain		S	Function Unknown
COG2426	Uncharacterized membrane protein		S	Function Unknown
COG2427	Uncharacterized conserved protein YjgD, DUF1641 family		S	Function Unknown
COG2428	Rps3 or RNA methylase involved in ribosome biogenesis, SPOUT family		J	Translation, Ribosomal Structure and Biogenesis
COG2429	Archaeal GTP cyclohydrolase III	Riboflavin/FAD biosynthesis	F	Nucleotide Transport and Metabolism
COG2430	Uncharacterized conserved protein, DUF432 domain		S	Function Unknown
COG2431	Lysine export protein LysO/YbjE, DUF340 family		E	Amino Acid Transport and Metabolism
COG2433	Possible nuclease of RNase H fold, RuvC/YqgF family		R	General Function Prediction Only
COG2440	Ferredoxin-like protein FixX		C	Energy Production and Conversion
COG2441	Predicted butyrate kinase, DUF1464 family		R	General Function Prediction Only
COG2442	Predicted antitoxin component of a toxin-antitoxin system, DUF433 family		V	Defense Mechanisms
COG2443	Preprotein translocase subunit Sss1		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG2445	Uncharacterized HEPN domain protein YutE, UPF0331/DUF86 family		R	General Function Prediction Only
COG2450	Predicted archaeal cell division protein, SepF family		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG2451	Ribosomal protein L35AE/L33A	Archaeal ribosomal proteins	J	Translation, Ribosomal Structure and Biogenesis
COG2452	Predicted site-specific integrase-resolvase		X	Mobilome: Prophages, Transposons
COG2453	Protein-tyrosine phosphatase		T	Signal Transduction Mechanisms
COG2454	Predicted nuclease, contains PIN domain		R	General Function Prediction Only
COG2456	Uncharacterized conserved protein, DUF2304 domain		S	Function Unknown
COG2457	Uncharacterized conserved protein, DUF447 domain		S	Function Unknown
COG2461	Uncharacterized conserved protein AF0170, contains SAB, hemerythrin HHE, and PAS domains		R	General Function Prediction Only
COG2469	Archaeal chemotaxis protein CheF		T	Signal Transduction Mechanisms
COG2501	Ribosome-associated protein YbcJ, S4-like RNA-binding protein		J	Translation, Ribosomal Structure and Biogenesis
COG2502	Asparagine synthetase A	Asparagine biosynthesis	E	Amino Acid Transport and Metabolism
COG2503	Predicted secreted acid phosphatase		R	General Function Prediction Only
COG2508	DNA-binding transcriptional regulator, PucR/PutR family		K	Transcription
COG2509	FAD-dependent dehydrogenase		R	General Function Prediction Only
COG2510	Riboflavin transporter RibN, EamA domain		H	Coenzyme Transport and Metabolism
COG2511	Archaeal Glu-tRNAGln amidotransferase subunit E, contains GAD domain		J	Translation, Ribosomal Structure and Biogenesis
COG2512	Predicted transcriptional regulator, contains CW (cell wall-binding) repeats and an HTH domain		R	General Function Prediction Only
COG2513	2-Methylisocitrate lyase and related enzymes, PEP mutase family		G	Carbohydrate Transport and Metabolism
COG2514	Catechol-2,3-dioxygenase		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG2515	1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase, PLP-dependent ACC family		E	Amino Acid Transport and Metabolism
COG2516	Biotin synthase-related protein, radical SAM superfamily		R	General Function Prediction Only
COG2517	Predicted RNA-binding protein, contains C-terminal EMAP domain		R	General Function Prediction Only
COG2518	Protein-L-isoaspartate O-methyltransferase		O	Post-translational Modification, Protein Turnover, Chaperones
COG2519	tRNA A58 N-methylase Trm61	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG2520	tRNA G37 N-methylase Trm5	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG2521	Predicted archaeal methyltransferase		R	General Function Prediction Only
COG2522	Predicted transcriptional regulator, contains XRE-type HTH domain		K	Transcription
COG2524	Predicted transcriptional regulator, contains C-terminal CBS domains		K	Transcription
COG2602	Beta-lactamase class D		V	Defense Mechanisms
COG2603	tRNA 2-selenouridine synthase SelU, contains rhodanese domain	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG2604	Uncharacterized conserved protein		S	Function Unknown
COG2605	Predicted kinase related to galactokinase and mevalonate kinase		R	General Function Prediction Only
COG2606	Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC		J	Translation, Ribosomal Structure and Biogenesis
COG2607	Predicted ATPase, AAA+ superfamily		R	General Function Prediction Only
COG2608	Copper chaperone CopZ		P	Inorganic Ion Transport and Metabolism
COG2609	Pyruvate dehydrogenase complex, dehydrogenase (E1) component	Pyruvate oxidation	C	Energy Production and Conversion
COG2610	H+/gluconate symporter GntT or related permease, GntP/DsdX family		G	Carbohydrate Transport and Metabolism
COG2703	Hemerythrin		T	Signal Transduction Mechanisms
